Search Term,Tweet Text,URL
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'RT @Mdemouy: https://t.co/ia76iWQJeO OFFICIAL TRADEMARK! MAKE VINCE GREAT AGAIN! He was always great! The fake news espn usc liberal media\xe2\x80\xa6',http://tsdr.uspto.gov/#caseNumber=87341703&caseType=SERIAL_NO&searchType=statusSearch
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'RT @realDonaldTrump: Thank you for the great rallies all across the country. Tremendous support. Make America Great Again!',
make great again,"b""RT @FatherWithTwins: Me: I feel great. It's like I'm in my 20s again!\n\nMy brain: Time to make something hurt for no reason.""",
make great again,"b'RT @name_pablo: What happens when you wear a ""make America great again"" hat in wilson\xf0\x9f\x98\x82\xe2\x80\xbc\xef\xb8\x8f https://t.co/XS6b5G29ij'",
make great again,"b'OKAY BUT YOU BOUGHT A SHIRT THAT SAYS ""GRAB AMERICA BY THE PUSSY"" AND HAVE A ""MAKE AMERICA GREAT AGAIN"" HAT \xf0\x9f\xa4\x94 https://t.co/mJjixSLOoa'",https://twitter.com/enrikeezy_/status/839567782744363023
make great again,"b'RT @darrenrovell: Vince Young has filed for the trademark ""Make Vince Great Again."" First discovered by @DarrenHeitner'",
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'RT @EngineeRoholic: Trump: Make America great again. \nKejriwal: Make Delhi great Britain.',
make great again,b'RT @AliciaFrisbee: I have a proposition.  Get your finger out of the pie hole #libtards and Make America great again\xf0\x9f\x92\xa1',
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'https://t.co/Z51W0ge709  Make Meridian Great Again',http://ift.tt/2m1Nlvl
make great again,"b'Did you know the pipeline will be built with Russian steel? Buy Russian? Make America great, again? More like... https://t.co/bv6mjDHrj3'",http://fb.me/5c3Uy1gP4
make great again,"b'So China bought @realDonaldTrump for the low cost of 38 trademarks.  Guess more ""Make America Great Again"" hats will be in your Walmart soon'",
make great again,b'Make Quelil Great Again #Trump2016',
make great again,b'MAKE BAGUETTE GREAT AGAIN &lt;3 #ImWithHer #SillWithHer #ADayWithoutAWoman https://t.co/ZFQeNWidOH',
make great again,b'@LilTunechi the only way to make America Great again is if you drop a new album soon',
make great again,b'RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN! https://t.co/kuQiZDz4rA',
make great again,b'RT @snowhecmacartne: a bright future. Make America great again\n#NeverTrump #impeachment #TheResistance \xf0\x9f\x90\xb7\xf0\x9f\x90\xbd\xf0\x9f\x90\xb7 https://t.co/KJWhixHbrU',
make great again,b'RT @futuresoption: Help make it happen for Trump Toilet Paper - Make TP Great Again! #crowdfunding on #indiegogo https://t.co/WUPNPIEiBY',https://igg.me/p/2032959/twtr
make great again,"b""RT @IditaTrump: I'm building a wall around the historic #Iditarod trail and will make the Chihuahuas pay for it. #MIGA Make Iditarod Great\xe2\x80\xa6""",
make great again,"b'RT @IditaTrump: Until someone wins #Iditarod, please refer to my Press Secretary as ""Shaktoolik Spicer."" \n#MIGA Make Iditarod Great Again'",
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,"b'RT @name_pablo: What happens when you wear a ""make America great again"" hat in wilson\xf0\x9f\x98\x82\xe2\x80\xbc\xef\xb8\x8f https://t.co/XS6b5G29ij'",
make great again,b'RT @AnnaBellPeaksXX: Make Sex Great Again - Sexpo South Africa March 23-25 2017: https://t.co/9fD2qnEO6k via @YouTube',http://youtu.be/gTD9isHjMy0?a
make great again,b'RT @AliciaFrisbee: I have a proposition.  Get your finger out of the pie hole #libtards and Make America great again\xf0\x9f\x92\xa1',
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,"b'RT @name_pablo: What happens when you wear a ""make America great again"" hat in wilson\xf0\x9f\x98\x82\xe2\x80\xbc\xef\xb8\x8f https://t.co/XS6b5G29ij'",
make great again,b'MAKE AMERICA GREAT AGAIN https://t.co/eo8ESt6HOy',
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,"b'Yo if a kid wore a ""make America great again hat"" 4 years ago at Wilson.. he wouldn\'t even make it past his first 5 mins after walking in.'",
make great again,"b""An excuse to make a point of how great I am, not something I need permission from anyone for. Don't test your luck\xe2\x80\xa6 https://t.co/4GV6lyd23k""",https://twitter.com/i/web/status/839729691095359488
make great again,b'RT @ChristiChat: \xf0\x9f\x92\xa5BOOM-Chachalaca-Boom\n\nEveryday our @POTUS Trump\nis victorious in his efforts to\nMake America Great Again!\n\n#MAGA #America\xe2\x80\xa6',
make great again,"b'RT @name_pablo: What happens when you wear a ""make America great again"" hat in wilson\xf0\x9f\x98\x82\xe2\x80\xbc\xef\xb8\x8f https://t.co/XS6b5G29ij'",
make great again,b'RT @SuperNovaElite2: MAKE AMERICA GREAT AGAIN! https://t.co/iUmga9sRbE',https://twitter.com/realDonaldTrump/status/839625347524096000
make great again,"b'DONALD TRUMP for President 2016  ""Make America Great Again"" #Unbranded https://t.co/iPdYQWG8Rr'",http://pinterest.com/pin/493566440398900880/
make great again,b'Mark May scratch. Scratch that.  Mark did scratch. Sad.\n#MIGA Make Iditarod Great Again',
make great again,b'Make Tinsel Great Again #Trump2016',
make great again,b'RT @MarkYoungTruth: Congratulations to all of the women who showed up at work today to help make America Great Again.So much for the day wi\xe2\x80\xa6',
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,"b'@realDonaldTrump that money here &amp; ""Make America Great Again"" by giving Americans free health care &amp; free education, pay the national debt.'",
make great again,b'RT @lopp: Tired of scalability debates?\nWant to Make Bitcoin Great Again?\nFund permissionless innovation projects!\nhttps://t.co/rviAqMnWgj\xe2\x80\xa6',https://medium.com/@Chris_Stewart_5/op-withdrawproofverify-the-op-code-that-powers-spv-sidechains-cefce996a324#.wvi9yh299
make great again,"b""@GlennHamer's Bottom Line: Here's how we make NAFTA great again https://t.co/TZpb46YTYn""",http://www.azchamber.com/news-and-resources/bottom-line/2017/make-nafta-great-again.html
make great again,b'RT @JdkiddD: @LindaSuhler @G45MAGA Make America Great Again. Obama was trying to make himself great. No accomplishments except first black\xe2\x80\xa6',
make great again,"b'RT @noppadon_dmc: Dear @realDonaldTrump \nPlease make Attama great again! \xf0\x9f\x91\xb4\xf0\x9f\x8f\xbc\n\nBest regards,\nNoppadon \xe0\xb8\x9b\xe0\xb8\xa5\xe0\xb8\xb2\xe0\xb8\x94\xe0\xb8\xb8\xe0\xb8\x81\n\n#donaldtrump #\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\xa3\xe0\xb8\xa1\xe0\xb8\x81\xe0\xb8\xb2\xe0\xb8\xa2'",
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,"b'RT @vvega1008: Make America great again...not for the poor, fuck them. No, Make America Great Again for businesses to do whatever they want\xe2\x80\xa6'",
make great again,b'RT @POTUS: MAKE AMERICA GREAT AGAIN! https://t.co/O08AlsWQzu',
make great again,"b'RT @kat_blaque: The phrase ""Make America Great Again"" quite literally references a point in the past where America was great. Why not just\xe2\x80\xa6'",
make great again,"b""RT @kat_blaque: These people sit around and say slavery is irrelevant and we shouldn't revel in the past but Make America Great Again. What\xe2\x80\xa6""",
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'RT @OGSaffron: Make archery great again. https://t.co/gX0kj9RPwi',
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'Make Keyhole Great Again #Trump2016',
make great again,"b""When the supporters of the new MSA reps are saying make Mizzou great again and you're not the least bit surprised https://t.co/1EMCfS2vHV""",
make great again,b'I have a proposition.  Get your finger out of the pie hole #libtards and Make America great again\xf0\x9f\x92\xa1',
make great again,"b""RT @_Queque_: Las gentes lo ped\xc3\xadan y aqu\xc3\xad est\xc3\xa1: 'Todos somos Rancius' en Spotify y en iTunes. \nMAKE RANCIUS GREAT AGAIN!\nhttps://t.co/zfI1i\xe2\x80\xa6""",
make great again,"b""RT @TerorisSocmed: NASIONALISME 'JONGOS TAIPAN' VERSUS NASIONALISME 'MAKE AMERICA GREAT AGAIN', DIBALIK KISRUH FREEPORT https://t.co/ROnIFn\xe2\x80\xa6""",
make great again,"b""RT @Parlez_me_nTory: If only we'd have had a general election or something @MoiraEwesfulone: @LabourEoin @moranrisin Get Tories OUT! Make B\xe2\x80\xa6""",
make great again,b'RT @TEN_GOP: Singer and songwriter Joy Villa kills it with her Make America Great Again dress. She really stole the show! \n#GRAMMYs https:/\xe2\x80\xa6',
make great again,"b""If only we'd have had a general election or something @MoiraEwesfulone: @LabourEoin @moranrisin Get Tories OUT! Make Britain great again!""",
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,"b""RT @benmurraybruce: On International Women's Day, I salute Nigerian women who have shown, perhaps more than we men, true commitment to make\xe2\x80\xa6""",
make great again,"b'RT @name_pablo: What happens when you wear a ""make America great again"" hat in wilson\xf0\x9f\x98\x82\xe2\x80\xbc\xef\xb8\x8f https://t.co/XS6b5G29ij'",
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'@tnews_tomonokai Make America Great Again! https://t.co/y1UzyTtY5G',
make great again,b'RT @luizbaha: @1NYconservative @GoDonaldTrump @TuckerCarlson @FoxNews @jorgeramosnews Build the wall send all back make Mexico great again',
make great again,b'@realDonaldTrump Your shit is made in China. How does that make America great again? Hashtag hypocrite.',
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,"b'@realDonaldTrump make america great again my ass, the liberals were right u are for the rich. Glad ur not coming to KY your not welcome here'",
make great again,b'RT @BDaigo: Make the empire great again \xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80\nhttps://t.co/sPHq68QQim\n@corrini @Bobetta2 @Adrastea_it',https://www.instagram.com/p/BRZXgHBjryW/
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'@RepJasonSmith tax the sun?  How would you collect?  Make Missouri great again. Stop being an idiot.',
make great again,b'Make Robber Cra Great Again #Trump2016',
make great again,"b'RT @realDonaldTrump: Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE A\xe2\x80\xa6'",
make great again,"b""RT @adrien_gabriela: How will Donald Trump make America great again? By killing off the 99% who can't afford the ridiculous health care cos\xe2\x80\xa6""",
make great again,b'RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!',
make great again,"b""The weak will be purged, and the strongest will thrive -- free to live as they see fit. They'll make America great again!""",
make great again,"b'DONALD TRUMP for President 2016  ""Make America Great Again"" #Unbranded https://t.co/ctHTNohMpz'",http://pinterest.com/pin/493566440398900781/
make great again,b'RT @MarkDice: #SheInspiresMe to support President Trump and Make America Great Again! https://t.co/N35OjeYQOA',
make great again,b'RT @DepressedDarth: Make Coffee Great Again https://t.co/o5967JqQB8',
make great again,"b'Een Russia, America make YOU great again!  (meh. I tried.)'",
make great again,b'RT @realDonaldTrump: Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!',
make great again,b'Make the empire great again \xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80\nhttps://t.co/sPHq68QQim\n@corrini @Bobetta2 @Adrastea_it',https://www.instagram.com/p/BRZXgHBjryW/
make great again,b'Vote for #RohanKingshibe 2k16: make Duwang great again',
make great again,b'@lawksland good thing Trump is going to Make Videogames Great Again',
make great again,b'Make America Great Again! #EndtheCIA https://t.co/2SobDQFPDC',
make great again,"b""@SamTSnelling  Make Mizzou Basketball Great Again. World Headquarters: North St. Louis County. @BKSportsTalk you're involved too ya dig""",
make great again,"b'RT @POTUS: A new chapter of AMERICAN GREATNESS is now beginning. Together, we will MAKE AMERICA GREAT AGAIN! https://t.co/9gUgQMDO85 https:\xe2\x80\xa6'",https://instagram.com/p/BRVomW_gqNm/
make great again,b'A day without any mention of Trump or Wikileaks in the news would make America great again.',
make great again,"b""@JEFF_NEIL525 How sad \xf0\x9f\x98\xa9 It's definitely time to Make America Great Again!""",
make great again,"b'RT @XHNorthAmerica: Follow us for breaking news about Trump and how he\'s going to ""Make America Great Again""!'",
make great again,"b'DONALD TRUMP for President 2016  ""Make America Great Again"" #Unbranded https://t.co/GdTFPItUzh'",http://pinterest.com/pin/493566440398900736/
make great again,b'.@Murtinez14 @jack Make Censorship Great Again! -@jack',
