"Date","Link","Transaction","Month-Year"
"10/5/15","http://m.nationals.mlb.com/player/449097/jonathan-papelbon","Washington Nationals activated RHP Jonathan Papelbon.","2015-10"
"10/5/15","http://m.nationals.mlb.com/player/407862/reed-johnson","LF Reed Johnson elected free agency.","2015-10"
"10/5/15","http://m.nationals.mlb.com/player/593582/abel-de-los-santos","Washington Nationals recalled Abel De Los Santos from Harrisburg Senators.","2015-10"
"10/5/15","http://m.nationals.mlb.com/player/571718/brian-goodwin","Washington Nationals recalled Brian Goodwin from Harrisburg Senators.","2015-10"
"10/5/15","http://m.nationals.mlb.com/player/592398/taylor-hill","Washington Nationals recalled RHP Taylor Hill from Syracuse Chiefs.","2015-10"
"11/2/15","http://m.nationals.mlb.com/player/407819/matt-thornton","LHP Matt Thornton elected free agency.","2015-11"
"11/2/15","http://m.nationals.mlb.com/player/450729/doug-fister","RHP Doug Fister elected free agency.","2015-11"
"11/2/15","http://m.nationals.mlb.com/player/452655/denard-span","CF Denard Span elected free agency.","2015-11"
"11/2/15","http://m.nationals.mlb.com/player/462564/dan-uggla","2B Dan Uggla elected free agency.","2015-11"
"11/2/15","http://m.nationals.mlb.com/player/519455/jordan-zimmermann","RHP Jordan Zimmermann elected free agency.","2015-11"
"11/2/15","http://m.nationals.mlb.com/player/435622/ian-desmond","SS Ian Desmond elected free agency.","2015-11"
"11/2/15","http://m.nationals.mlb.com/player/434661/nate-mclouth","LF Nate McLouth elected free agency.","2015-11"
"11/3/15","http://m.nationals.mlb.com/player/502578/aaron-barrett","Washington Nationals activated RHP Aaron Barrett from the 60-day disabled list.","2015-11"
"11/3/15","http://m.nationals.mlb.com/player/502304/david-carpenter","Washington Nationals activated RHP David Carpenter from the 60-day disabled list.","2015-11"
"11/3/15","http://m.nationals.mlb.com/player/489334/craig-stammen","Washington Nationals activated RHP Craig Stammen from the 60-day disabled list.","2015-11"
"11/3/15","http://m.nationals.mlb.com/player/445163/casey-janssen","RHP Casey Janssen elected free agency.","2015-11"
"11/12/15","http://m.nationals.mlb.com/player/595922/nick-conner","Washington Nationals signed free agent RHP Nick Conner to a minor league contract.","2015-11"
"11/15/15","http://m.nationals.mlb.com/player/430634/sean-burnett","Washington Nationals signed free agent LHP Sean Burnett to a minor league contract and invited him to spring training.","2015-11"
"11/17/15","http://m.nationals.mlb.com/player/502582/logan-schafer","Washington Nationals signed free agent CF Logan Schafer to a minor league contract and invited him to spring training.","2015-11"
"11/17/15","http://m.nationals.mlb.com/player/666813/juan-pascal","Washington Nationals signed free agent SS Juan Pascal to a minor league contract.","2015-11"
"11/18/15","http://m.nationals.mlb.com/player/502304/david-carpenter","Washington Nationals sent RHP David Carpenter outright to Syracuse Chiefs.","2015-11"
"11/19/15","http://m.nationals.mlb.com/player/502003/scott-sizemore","Washington Nationals signed free agent 3B Scott Sizemore to a minor league contract and invited him to spring training.","2015-11"
"11/19/15","http://m.nationals.mlb.com/player/607471/chris-bostick","Washington Nationals selected the contract of Chris Bostick from Harrisburg Senators.","2015-11"
"11/19/15","http://m.nationals.mlb.com/player/571851/spencer-kieboom","Washington Nationals selected the contract of Spencer Kieboom from Potomac Nationals.","2015-11"
"11/19/15","http://m.nationals.mlb.com/player/595297/nick-lee","Washington Nationals selected the contract of Nick Lee from Harrisburg Senators.","2015-11"
"12/2/15","http://m.nationals.mlb.com/player/489334/craig-stammen","RHP Craig Stammen elected free agency.","2015-12"
"12/3/15","http://m.nationals.mlb.com/player/502317/chris-heisey","Washington Nationals signed free agent LF Chris Heisey to a minor league contract and invited him to spring training.","2015-12"
"12/10/15","http://m.nationals.mlb.com/player/641627/trevor-gott","Washington Nationals traded cash and 3B Yunel Escobar to Los Angeles Angels for RHP Michael Brady and RHP Trevor Gott.","2015-12"
"12/10/15","http://m.nationals.mlb.com/player/488862/yunel-escobar","Washington Nationals traded cash and 3B Yunel Escobar to Los Angeles Angels for RHP Michael Brady and RHP Trevor Gott.","2015-12"
"12/10/15","http://m.nationals.mlb.com/player/572728/michael-brady","Washington Nationals traded cash and 3B Yunel Escobar to Los Angeles Angels for RHP Michael Brady and RHP Trevor Gott.","2015-12"
"12/10/15","http://m.nationals.mlb.com/player//","Washington Nationals traded cash and 3B Yunel Escobar to Los Angeles Angels for RHP Michael Brady and RHP Trevor Gott.","2015-12"
"12/11/15","http://m.nationals.mlb.com/player/456673/marquez-smith","Washington Nationals signed free agent 1B Marquez Smith to a minor league contract.","2015-12"
"12/11/15","http://m.nationals.mlb.com/player/424144/oliver-perez","Washington Nationals signed free agent LHP Oliver Perez.","2015-12"
"12/11/15","http://m.nationals.mlb.com/player/519236/sam-runion","Washington Nationals signed free agent RHP Sam Runion to a minor league contract.","2015-12"
"12/11/15","http://m.nationals.mlb.com/player/572082/andrew-robinson","Washington Nationals signed free agent RHP Andrew Robinson to a minor league contract.","2015-12"
"12/11/15","http://m.nationals.mlb.com/player/502089/brian-jeroloman","Washington Nationals signed free agent C Brian Jeroloman to a minor league contract and invited him to spring training.","2015-12"
"12/11/15","http://m.nationals.mlb.com/player/518875/shawn-kelley","Washington Nationals signed free agent RHP Shawn Kelley.","2015-12"
"12/14/15","http://m.nationals.mlb.com/player/433589/yusmeiro-petit","Washington Nationals signed free agent RHP Yusmeiro Petit.","2015-12"
"12/14/15","http://m.nationals.mlb.com/player/595407/stephen-shackleford","Washington Nationals signed free agent RHP Stephen Shackleford to a minor league contract.","2015-12"
"12/15/15","http://m.nationals.mlb.com/player/434665/nick-masset","Washington Nationals signed free agent RHP Nick Masset to a minor league contract and invited him to spring training.","2015-12"
"12/15/15","http://m.nationals.mlb.com/player/550495/jon-velasquez","Washington Nationals signed free agent RHP Jon Velasquez to a minor league contract.","2015-12"
"12/15/15","http://m.nationals.mlb.com/player/543127/cutter-dykstra","Washington Nationals signed free agent 2B Cutter Dykstra to a minor league contract.","2015-12"
"12/15/15","http://m.nationals.mlb.com/player/668536/jose-de-los-santos","Washington Nationals signed free agent RHP Jose De Los Santos to a minor league contract.","2015-12"
"12/17/15","http://m.nationals.mlb.com/player/518396/tim-alderson","Washington Nationals signed free agent RHP Tim Alderson to a minor league contract.","2015-12"
"12/18/15","http://m.nationals.mlb.com/player/543041/zach-collier","Washington Nationals signed free agent LF Zach Collier to a minor league contract.","2015-12"
