domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
intern.nasa.gov,162760,1342968,66834,8.251216515,384.9181986,165905
spaceplace.nasa.gov,228021,906582,218586,3.975870643,188.6314024,246892
solarsystem.nasa.gov,576344,2281001,485135,3.95770755,275.2864296,583420
mars.nasa.gov,581062,1672419,560618,2.878210931,52.7239107,579489
spotthestation.nasa.gov,878276,2431180,487494,2.768127559,379.0124095,886139
voyager.jpl.nasa.gov,189494,475700,180845,2.510369721,105.6180829,192639
saturn.jpl.nasa.gov,131309,310581,117942,2.365268184,146.5627642,128164
nasasearch.nasa.gov,323948,764265,217800,2.359221233,136.9003636,258686
history.nasa.gov,116370,271267,114011,2.331073301,58.07410845,127377
starchild.gsfc.nasa.gov,218586,503220,187921,2.302160248,95.23384846,221731
grc.nasa.gov,526022,1127527,422233,2.1434978,126.910287,526022
jpl.nasa.gov,639246,1331173,548824,2.082411153,87.37765899,684851
ntrs.nasa.gov,101430,209937,81773,2.069772257,150.6282461,99858
nasa.gov,7580534,15525902,5632916,2.048127744,140.8896324,7450011
apod.nasa.gov,2998875,6129846,776845,2.044048518,105.34138,2974500
earthobservatory.nasa.gov,542534,1107083,430882,2.040578102,96.26807905,559832
climate.nasa.gov,496929,926239,419874,1.863926235,172.2311859,500861
eol.jsc.nasa.gov,132095,226449,87277,1.714288959,102.4822817,146248
science.nasa.gov,278343,436386,242961,1.567799442,108.3673956,276771
m.earthobservatory.nasa.gov,146248,176913,134454,1.209678081,32.10220311,149393
